,Restaurant_id,Name,Location,Price_for_two,Cuisines,Rating,Delivery_review_number,Price_for_one
0,0,Cafe Delhi Heights,"Forum Rex Walk, Bangalore",1500,"North Indian, Oriental, Italian, Desserts, Beverages, Coffee, Sushi",4.2,44.0,750.0
1,1,Ouro,"Forum Rex Walk, Bangalore",3000,"European, Mexican, Desserts",0.0,0.0,1500.0
2,2,The Bier Library,"Koramangala 6th Block, Bangalore",1800,"North Indian, Pizza, European, American, Bar Food, Oriental, Desserts, BBQ",4.5,695.0,900.0
3,3,Bombay Borough,"Richmond Road, Bangalore",2000,"North Indian, Biryani, South Indian, Desserts, Tea, Beverages",4.5,55.0,1000.0
4,4,Pangeo,"Forum Rex Walk, Bangalore",3500,"Sushi, Continental, Mediterranean, Pizza, Pasta, North Indian, Desserts, Asian",4.5,0.0,1750.0
5,5,Over Coffee Cafe & Wine Bar,"Lavelle Road, Bangalore",1200,"European, Italian, Continental, Cafe, Coffee",4.5,15.0,600.0
6,6,Farzi Cafe,"UB City, Bangalore",1900,"North Indian, Desserts",4.2,144.0,950.0
7,7,Mayuri,"JP Nagar, Bangalore",1200,"Andhra, Biryani, North Indian, Chinese, Desserts",4.5,3146.0,600.0
8,8,ShakesBierre,"Eva Mall, Brigade Road, Bangalore",1800,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages",4.4,117.0,900.0
9,9,No Limmits Lounge And Club,"Brigade Road, Bangalore",2500,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages",3.8,0.0,1250.0
10,10,Sarjapur SOCIAL,"Sarjapur Road, Bangalore",1000,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Desserts, Beverages",4.4,3376.0,500.0
11,11,KOKO,"Old Airport Road, Bangalore",3500,"Asian, Sushi, Desserts, Chinese, Beverages",0.0,4.0,1750.0
12,12,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore",3500,"North Indian, Continental, Fast Food, Asian, Beverages",4.2,112.0,1750.0
13,13,Lono,"Indiranagar, Bangalore",1700,"Chinese, Italian, Continental, North Indian, Seafood, Pizza, Pasta, Fast Food",4.2,112.0,850.0
14,14,Toit,"Indiranagar, Bangalore",2500,"Italian, American, European, Continental, Desserts",4.9,1051.0,1250.0
15,15,Foo Brigade Road,"Forum Rex Walk, Bangalore",2000,"Chinese, Sushi, Asian, Japanese, Desserts",4.6,304.0,1000.0
16,16,RCB Bar & Cafe,"1 Sobha, Bangalore",2000,"Continental, Asian, North Indian, Pizza, Fast Food, Desserts, Beverages",4.4,201.0,1000.0
17,17,2 MOONS,"1 MG Road Mall, MG Road, Bangalore",2100,"Modern Indian, Continental, Asian",4.3,2.0,1050.0
18,18,Roxie,"Sarjapur Road, Bangalore",2600,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages",4.6,73.0,1300.0
19,19,Maffei Kitchen,"Koramangala 5th Block, Bangalore",1700,"Lebanese, Greek, Moroccan, Desserts, Beverages",4.7,357.0,850.0
20,20,Amintiri,"Church Street, Bangalore",1100,"Desserts, Bakery, Fast Food, Beverages, Pasta, Italian, Cafe, Finger Food",4.4,0.0,550.0
21,21,Citrus - The Leela Palace,"The Leela Palace, Old Airport Road, Bangalore",4700,"North Indian, Continental, Asian, Desserts",4.0,142.0,2350.0
22,22,Long Boat Brewing Co.,"Marathahalli, Bangalore",2600,"Asian, Chinese, North Indian, Pizza, South Indian, Continental",4.2,647.0,1300.0
23,23,Muro,"Church Street, Bangalore",3000,"Thai, Cantonese",4.5,0.0,1500.0
24,24,Ministry of Food - Hilton Bangalore Embassy GolfLinks,"Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore",3500,"Asian, Continental, Italian, North Indian, Mughlai, Desserts, Beverages",3.9,212.0,1750.0
25,25,Jugni Kitchen & Bar,"Koramangala 5th Block, Bangalore",1600,"North Indian, Modern Indian, Bar Food",4.5,0.0,800.0
26,26,Oia,"Hennur, Bangalore",2500,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts",4.1,0.0,1250.0
27,27,Just BLR,"Brigade Road, Bangalore",2500,"North Indian, Chinese, Biryani, Beverages",4.4,0.0,1250.0
28,28,Tim Hortons,"Koramangala 8th Block, Bangalore",1000,"Coffee, Cafe, Continental, Sandwich, Fast Food, Salad, Beverages, Desserts",4.1,537.0,500.0
29,29,Jook Taproom,"Indiranagar, Bangalore",1600,"North Indian, South Indian, Chinese, Pizza, Fast Food, Biryani, Asian, Bar Food",4.4,49.0,800.0
30,30,Jamavar - The Leela Palace,"The Leela Palace, Old Airport Road, Bangalore",5000,"North Indian, South Indian",4.3,0.0,2500.0
31,31,XOOX Brewmill,"Koramangala 5th Block, Bangalore",2500,"North Indian, Continental, American, Italian, Asian, Modern Indian, Pizza, Desserts",4.3,175.0,1250.0
32,32,Uru Brewpark,"JP Nagar, Bangalore",2200,"Continental, North Indian, Italian, Chinese, Asian, Pizza, Lebanese, Beverages",4.3,4083.0,1100.0
33,33,Feast - Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre,"Sheraton Grand Bengaluru, Whitefield, Bangalore",3500,"Continental, South Indian, North Indian, Desserts, Beverages",4.3,103.0,1750.0
34,34,K-OS TheGameBar,"Koramangala 7th Block, Bangalore",1700,"Continental, Italian, North Indian, Finger Food, Asian, Fast Food",4.4,21.0,850.0
35,35,Ironhill Bengaluru,"Marathahalli, Bangalore",2000,"North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts",4.5,152.0,1000.0
36,36,Terrace By House Of Commons,"JP Nagar, Bangalore",2000,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Bar Food, Beverages",4.6,0.0,1000.0
37,37,Macaw By Stories,"Bommanahalli, Bangalore",1000,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts",4.2,18.0,500.0
38,38,The Pizza Bakery,"Koramangala 5th Block, Bangalore",1500,"Pizza, Italian, Pasta, Salad, Continental, Desserts, Beverages",4.5,856.0,750.0
39,39,North Star Cafe,"HSR, Bangalore",800,"Cafe, Bakery, Beverages, Desserts, Continental, Healthy Food",4.2,21.0,400.0
40,40,Grazers Resto - Bar,"Jayanagar, Bangalore",1300,"North Indian, Salad, Continental, Burger, Pizza, Fast Food, Asian, Bar Food",4.0,3331.0,650.0
41,41,Stories Brewery & Kitchen,"BTM, Bangalore",1800,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts",4.4,435.0,900.0
42,42,Zen - The Leela Palace,"The Leela Palace, Old Airport Road, Bangalore",3500,"Thai, Japanese, Chinese, Rolls",4.1,0.0,1750.0
43,43,Homiga,"Forum Rex Walk, Bangalore",1500,"Korean, Asian",4.1,0.0,750.0
44,44,The Weekly Brewhouse & Kitchen,"Hosur Road, Bangalore",1500,"Continental, Bar Food, Chinese, North Indian, Pasta, Pizza, Biryani, Beverages",4.5,11.0,750.0
45,45,Asia Alive - DoubleTree Suites By Hilton,"DoubleTree Suites By Hilton, Sarjapur, Bangalore",3500,"North Indian, South Indian, Chinese, Thai, Italian, Burger, Sandwich, Beverages",3.9,144.0,1750.0
46,46,Chowman,"Indiranagar, Bangalore",1400,"Chinese, Thai, Asian, Seafood, Sichuan, Desserts, Beverages",4.5,8383.0,700.0
47,47,The Hole In The Wall Cafe,"Koramangala 4th Block, Bangalore",700,"Cafe, Continental, Burger, Sandwich, Shake, Beverages, Desserts",4.4,7912.0,350.0
48,48,Geometry Brewery & Kitchen,"Malleshwaram, Bangalore",1800,"Chinese, North Indian, Italian, Continental, Pizza, Desserts, Beverages",4.2,44.0,900.0
49,49,Quattro - The Leela Bhartiya City Bengaluru,"The Leela - Bhartiya City, Bangalore",3500,"North Indian, Mediterranean, European",4.2,259.0,1750.0
50,50,1131 Bar + Kitchen By House Of Commons,"Indiranagar, Bangalore",2200,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Desserts, Beverages",4.5,396.0,1100.0
51,51,Lush - Renaissance Hotel,"Renaissance Hotel, Race Course Road, Bangalore",3500,"North Indian, Continental, Chinese, Fast Food",4.4,144.0,1750.0
52,52,The Terrace at Gilly's Redefined,"Gilly's Redefined, Koramangala 4th Block, Bangalore",2000,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages, Desserts",4.4,6.0,1000.0
53,53,Biergarten,"Whitefield, Bangalore",2500,"Continental, European, BBQ, Chinese, Asian, Beverages",4.6,2442.0,1250.0
54,54,Cafe Grey By Dongle & Co,"Indiranagar, Bangalore",1200,"Cafe, Coffee, Beverages, Continental, Pizza, Italian, Salad, Desserts",4.4,250.0,600.0
55,55,F5,"Embassy Manyata Business Park,  Nagawara , Bangalore",3100,"North Indian, Continental, Pizza, Fast Food, Coffee, Tea, Desserts, Beverages",4.3,0.0,1550.0
