,name,location,price_for_two,cuisines,rating,restaurant_link
0,Ouro,"Forum Rex Walk, Bangalore",3000,"European, Mexican, Desserts",New,https://www.zomato.com//bangalore/ouro-brigade-road-bangalore/info
1,Just BLR,"Brigade Road, Bangalore",2500,"North Indian, Chinese, Biryani, Beverages",4.4,https://www.zomato.com//bangalore/just-blr-1-brigade-road-bangalore/info
2,The Bier Library,"Koramangala 6th Block, Bangalore",1800,"North Indian, Pizza, European, American, Bar Food, Oriental, Desserts, BBQ",4.5,https://www.zomato.com//bangalore/the-bier-library-koramangala-6th-block-bangalore/info
3,Bombay Borough,"Richmond Road, Bangalore",2000,"North Indian, Biryani, South Indian, Desserts, Tea, Beverages",4.5,https://www.zomato.com//bangalore/bombay-borough-richmond-road-bangalore/info
4,Pangeo,"Forum Rex Walk, Bangalore",3500,"Sushi, Continental, Mediterranean, Pizza, Pasta, North Indian, Desserts, Asian",4.5,https://www.zomato.com//bangalore/pangeo-brigade-road-bangalore/info
5,Mayuri,"JP Nagar, Bangalore",1200,"Andhra, Biryani, North Indian, Chinese, Desserts",4.5,https://www.zomato.com//bangalore/mayuri-1-jp-nagar-bangalore/info
6,Over Coffee Cafe & Wine Bar,"Lavelle Road, Bangalore",1200,"European, Italian, Continental, Cafe, Coffee",4.5,https://www.zomato.com//bangalore/over-coffee-cafe-wine-bar-lavelle-road-bangalore/info
7,Farzi Cafe,"UB City, Bangalore",1900,"North Indian, Desserts",4.2,https://www.zomato.com//bangalore/farzi-cafe-lavelle-road/info
8,ShakesBierre,"Eva Mall, Brigade Road, Bangalore",1800,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages",4.4,https://www.zomato.com//bangalore/shakesbierre-1-brigade-road-bangalore/info
9,Smoke House Deli,"Indiranagar, Bangalore",1500,"Continental, Italian, BBQ, Fast Food, Ice Cream, Desserts, Coffee, Beverages",4.5,https://www.zomato.com//SmokeHouseDeli-Indiranagar/info
10,2 MOONS,"1 MG Road Mall, MG Road, Bangalore",2100,"Modern Indian, Continental, Asian",4.3,https://www.zomato.com//bangalore/2-moons-mg-road-bangalore/info
11,Sarjapur SOCIAL,"Sarjapur Road, Bangalore",1000,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Desserts, Beverages",4.4,https://www.zomato.com//SarjapurSocial/info
12,No Limmits Lounge And Club,"Brigade Road, Bangalore",2500,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages",3.8,https://www.zomato.com//bangalore/no-limmits-lounge-and-club-brigade-road-bangalore/info
